customer_id,customer_name,customer_type,credit_terms_days,primary_freight_type,account_status,contract_start_date,annual_revenue_potential
CUST00001,Metro Wholesale,Dedicated,60,General,Inactive,20-02-2020,985117
CUST00002,National Retail,Contract,30,Retail,Active,02-06-2021,4936566
CUST00003,XYZ Industries,Contract,30,Consumer Goods,Active,04-09-2020,3102814
CUST00004,American Corp,Contract,15,Food/Beverage,Active,29-11-2020,3948027
CUST00005,American Distribution,Spot,45,Consumer Goods,Active,04-02-2020,3682564
CUST00006,American Industries,Dedicated,30,Consumer Goods,Active,16-02-2021,973274
CUST00007,Superior Distribution,Spot,30,Food/Beverage,Active,05-02-2021,1499297
CUST00008,American Logistics,Contract,30,Automotive,Inactive,23-07-2021,1613275
CUST00009,XYZ Wholesale,Contract,30,Retail,Inactive,28-03-2020,4713444
CUST00010,National Logistics,Dedicated,45,Automotive,Active,19-11-2021,3468505
CUST00011,First Group,Dedicated,15,Electronics,Active,18-06-2020,4333669
CUST00012,ABC Distribution,Dedicated,30,Electronics,Active,17-07-2020,2931263
CUST00013,Pacific Corp,Dedicated,60,General,Active,29-08-2021,1426880
CUST00014,Elite Foods,Contract,45,Consumer Goods,Active,17-04-2021,4578681
CUST00015,First Group,Spot,15,Automotive,Active,27-08-2020,3816255
CUST00016,United Industries,Dedicated,60,Food/Beverage,Active,19-03-2020,3055508
CUST00017,Superior Supply Chain,Dedicated,60,Automotive,Active,02-03-2021,2743711
CUST00018,ABC Retail,Dedicated,60,General,Active,12-06-2021,4714416
CUST00019,American Supply Chain,Contract,30,Retail,Active,28-12-2020,2823396
CUST00020,First Corp,Contract,30,Consumer Goods,Inactive,09-11-2021,3218209
CUST00021,Elite Industries,Dedicated,60,Consumer Goods,Active,19-02-2020,3558986
CUST00022,Continental Supply Chain,Contract,15,Automotive,Active,23-05-2021,3712034
CUST00023,Continental Industries,Spot,30,General,Active,08-09-2021,2813302
CUST00024,XYZ Distribution,Contract,15,Electronics,Active,05-05-2021,2119327
CUST00025,Pacific Retail,Contract,30,Food/Beverage,Inactive,24-03-2020,4824000
CUST00026,ABC Supply Chain,Dedicated,30,Retail,Inactive,14-10-2020,4677044
CUST00027,Superior Foods,Spot,30,Automotive,Active,03-02-2021,1894559
CUST00028,First Group,Contract,15,Automotive,Active,17-12-2021,3246257
CUST00029,Superior Distribution,Dedicated,30,Food/Beverage,Active,14-07-2021,4715736
CUST00030,ABC Manufacturing,Spot,15,Electronics,Active,25-03-2021,2231454
CUST00031,American Manufacturing,Dedicated,30,Automotive,Active,13-05-2020,3119970
CUST00032,Continental Wholesale,Dedicated,45,Food/Beverage,Active,01-09-2021,3895035
CUST00033,XYZ Foods,Contract,30,Consumer Goods,Active,22-11-2020,3853900
CUST00034,Elite Retail,Contract,60,Consumer Goods,Active,28-04-2021,3431037
CUST00035,United Distribution,Spot,15,Food/Beverage,Active,23-12-2021,101641
CUST00036,National Retail,Spot,45,Retail,Active,19-11-2021,390773
CUST00037,American Retail,Spot,15,Consumer Goods,Active,16-05-2020,2486409
CUST00038,Continental Supply Chain,Dedicated,30,Food/Beverage,Active,25-01-2020,236754
